	gc.content	chrom.arm
chr1_347968	0.428456171915	chr1
chr1_860467	0.524862751861	chr1
chr1_930048	0.642295363054	chr1
chr1_983703	0.604061000102	chr1
chr1_1042456	0.636787128447	chr1
chr1_1098268	0.579691806348	chr1
chr1_1155958	0.610576055982	chr1
chr1_1211403	0.621918973392	chr1
chr1_1265483	0.624577665352	chr1
chr1_1322013	0.630244419663	chr1
chr1_1376713	0.552595537146	chr1
chr1_1436584	0.573965776043	chr1
chr1_1519858	0.563518380428	chr1
chr1_1582886	0.579558163708	chr1
chr1_1662806	0.545657884718	chr1
chr1_1767890	0.482793849716	chr1
chr1_1826618	0.462091374557	chr1
chr1_1887553	0.58435670737	chr1
chr1_1945123	0.547183110699	chr1
chr1_2003289	0.580361026533	chr1
chr1_2058464	0.569873159893	chr1
chr1_2112468	0.547588345996	chr1
chr1_2169855	0.592104316547	chr1
chr1_2225454	0.571233475363	chr1
chr1_2280371	0.618436164404	chr1
chr1_2333483	0.562799861357	chr1
chr1_2388299	0.586483084786	chr1
chr1_2440736	0.643873572545	chr1
chr1_2491262	0.63170577546	chr1
chr1_2541889	0.603256048562	chr1
chr1_2599381	0.550577522345	chr1
chr1_2817806	0.560618187362	chr1
chr1_2870281	0.5995132183	chr1
chr1_2920816	0.550725749238	chr1
chr1_2972969	0.546435585045	chr1
chr1_3025417	0.553123896929	chr1
chr1_3076410	0.595115630767	chr1
chr1_3127347	0.572932504475	chr1
chr1_3179305	0.569680997522	chr1
chr1_3230150	0.564981537173	chr1
chr1_3282687	0.568011786541	chr1
chr1_3334949	0.573552820592	chr1
chr1_3386462	0.579682615062	chr1
chr1_3436999	0.57407300617	chr1
chr1_3489021	0.634694760014	chr1
chr1_3539898	0.618007438594	chr1
chr1_3592864	0.578376533495	chr1
chr1_3645602	0.573801434504	chr1
chr1_3698581	0.589107125913	chr1
chr1_3751275	0.541542244862	chr1
chr1_3808204	0.485321381644	chr1
chr1_3863760	0.528628589639	chr1
chr1_3979392	0.497777281774	chr1
chr1_4033154	0.501873045331	chr1
chr1_4091347	0.494667670111	chr1
chr1_4145825	0.471170113593	chr1
chr1_4203750	0.443739589609	chr1
chr1_4260183	0.466680697189	chr1
chr1_4312449	0.506560502411	chr1
chr1_4365950	0.461841675159	chr1
chr1_4417956	0.47667308022	chr1
chr1_4470448	0.494946383536	chr1
chr1_4522390	0.441419960324	chr1
chr1_4574813	0.488148528656	chr1
chr1_4629320	0.514189266506	chr1
chr1_4681753	0.542724862643	chr1
chr1_4733806	0.516540578385	chr1
chr1_4785224	0.442444101773	chr1
chr1_4837103	0.435630515657	chr1
chr1_4897045	0.464463248966	chr1
chr1_4949750	0.456109318509	chr1
chr1_5001195	0.422873217914	chr1
chr1_5058781	0.388356280489	chr1
chr1_5111873	0.456786148673	chr1
chr1_5167780	0.416187694337	chr1
chr1_5220844	0.454212104429	chr1
chr1_5273204	0.470103640712	chr1
chr1_5325885	0.467850907159	chr1
chr1_5378576	0.488849154108	chr1
chr1_5429468	0.489416763229	chr1
chr1_5481247	0.497871690622	chr1
chr1_5533635	0.431549595007	chr1
chr1_5586351	0.445003499347	chr1
chr1_5639217	0.495007673558	chr1
chr1_5694601	0.507002904772	chr1
chr1_5748649	0.509183919337	chr1
chr1_5802601	0.522835719155	chr1
chr1_5856879	0.532220354376	chr1
chr1_5908631	0.474159271813	chr1
chr1_5961144	0.539010747762	chr1
chr1_6013526	0.539134100741	chr1
chr1_6068081	0.55722954593	chr1
chr1_6120649	0.579068548538	chr1
chr1_6174070	0.522322726262	chr1
chr1_6232552	0.592478515476	chr1
chr1_6285147	0.532865602695	chr1
chr1_6342729	0.525345918007	chr1
chr1_6405026	0.581809038909	chr1
chr1_6468661	0.576995634129	chr1
chr1_6524319	0.505945823343	chr1
chr1_6586042	0.544681536644	chr1
chr1_6641903	0.456274157924	chr1
chr1_6699854	0.472737239222	chr1
chr1_6761879	0.442392816492	chr1
chr1_6817227	0.403675538657	chr1
chr1_6870878	0.448110400952	chr1
chr1_6922978	0.50078116069	chr1
chr1_6975463	0.479549563121	chr1
chr1_7028566	0.473337521656	chr1
chr1_7081092	0.483104232874	chr1
chr1_7134270	0.454248001487	chr1
chr1_7188059	0.447478328662	chr1
chr1_7241931	0.44383715489	chr1
chr1_7295355	0.44261635702	chr1
chr1_7347564	0.484850182022	chr1
chr1_7401128	0.526908790029	chr1
chr1_7457930	0.544213200923	chr1
chr1_7509486	0.52334443629	chr1
chr1_7562624	0.519267149553	chr1
chr1_7621298	0.558516336369	chr1
chr1_7673573	0.505508810323	chr1
chr1_7726578	0.419522554189	chr1
chr1_7781201	0.415510637908	chr1
chr1_7835769	0.445882497758	chr1
chr1_7892635	0.442155335861	chr1
chr1_7951706	0.462086245549	chr1
chr1_8012369	0.427070510931	chr1
chr1_8070047	0.435892076431	chr1
chr1_8127457	0.461439588689	chr1
chr1_8186584	0.488451426099	chr1
chr1_8246677	0.461142662978	chr1
chr1_8308479	0.534307739972	chr1
chr1_8363349	0.444523033969	chr1
chr1_8417073	0.440172277337	chr1
chr1_8471403	0.419404284968	chr1
chr1_8528813	0.391265860136	chr1
chr1_8583036	0.39850128246	chr1
chr1_8642686	0.404677281774	chr1
chr1_8698957	0.407307512497	chr1
chr1_8754570	0.416887354986	chr1
chr1_8813098	0.474944067825	chr1
chr1_8872544	0.477934416181	chr1
chr1_8937803	0.477820399331	chr1
chr1_8998804	0.496164800028	chr1
chr1_9056036	0.491571469551	chr1
chr1_9115298	0.493418603864	chr1
chr1_9174403	0.498443402826	chr1
chr1_9231578	0.525698827773	chr1
chr1_9284809	0.530742115028	chr1
chr1_9338708	0.543290840763	chr1
chr1_9392991	0.505802606817	chr1
chr1_9450378	0.493400849396	chr1
chr1_9511597	0.4685848682	chr1
chr1_9577075	0.547592288407	chr1
chr1_9634909	0.503353063667	chr1
chr1_9695897	0.512172912049	chr1
chr1_9754099	0.46396023198	chr1
chr1_9816862	0.518899622008	chr1
chr1_9874005	0.48275862069	chr1
chr1_9935455	0.467932683057	chr1
chr1_10003015	0.465585629398	chr1
chr1_10068815	0.426400582764	chr1
chr1_10127843	0.440896860987	chr1
chr1_10189167	0.447393349964	chr1
chr1_10252504	0.398485743436	chr1
chr1_10308372	0.418714918244	chr1
chr1_10365737	0.476333920846	chr1
chr1_10428147	0.476086227009	chr1
chr1_10490725	0.450428829231	chr1
chr1_10544475	0.420590918661	chr1
chr1_10601470	0.545305381824	chr1
chr1_10653273	0.594566061789	chr1
chr1_10703475	0.55609654834	chr1
chr1_10756463	0.52281110835	chr1
chr1_10808783	0.532893399139	chr1
chr1_10862881	0.525332599321	chr1
chr1_10917375	0.515596015115	chr1
chr1_10975594	0.467860274099	chr1
chr1_11040606	0.500283157776	chr1
chr1_11102408	0.45210354841	chr1
chr1_11158883	0.44099378882	chr1
chr1_11218613	0.451832921223	chr1
chr1_11278871	0.511383928571	chr1
chr1_11337110	0.503669837266	chr1
chr1_11394196	0.495582898115	chr1
chr1_11450680	0.528114368717	chr1
chr1_11503001	0.51353666257	chr1
chr1_11556706	0.501161932866	chr1
chr1_11610925	0.530637803024	chr1
chr1_11666819	0.537672364326	chr1
chr1_11724327	0.530608637239	chr1
chr1_11780895	0.502592826814	chr1
chr1_11836239	0.515509574697	chr1
chr1_11892010	0.516135682456	chr1
chr1_11955068	0.518663092645	chr1
chr1_12014757	0.52437479948	chr1
chr1_12073977	0.496760075994	chr1
chr1_12132928	0.536073483021	chr1
chr1_12186817	0.50595102854	chr1
chr1_12244033	0.415565689155	chr1
chr1_12299513	0.411816176605	chr1
chr1_12354369	0.409827931456	chr1
chr1_12410803	0.422572824728	chr1
chr1_12463598	0.452518973342	chr1
chr1_12516042	0.501326954639	chr1
chr1_12573339	0.514289409026	chr1
chr1_12627491	0.466430851523	chr1
chr1_12685441	0.430321801133	chr1
chr1_12744265	0.448986389305	chr1
chr1_13382062	0.466838292325	chr1
chr1_13497657	0.483830023994	chr1
chr1_13555127	0.453272721283	chr1
chr1_13615840	0.440577222078	chr1
chr1_13677583	0.41290334362	chr1
chr1_13732343	0.411692520085	chr1
chr1_13784495	0.485301916812	chr1
chr1_13837290	0.423519867374	chr1
chr1_13893990	0.43726800297	chr1
chr1_13947869	0.426915820681	chr1
chr1_14003523	0.422772478181	chr1
chr1_14057719	0.429396295449	chr1
chr1_14110194	0.434385366667	chr1
chr1_14164152	0.416799544419	chr1
chr1_14216831	0.408971821694	chr1
chr1_14269885	0.416190493689	chr1
chr1_14324311	0.428218731943	chr1
chr1_14381420	0.429752346681	chr1
chr1_14440332	0.430990117472	chr1
chr1_14493961	0.435525778553	chr1
chr1_14547842	0.454391986945	chr1
chr1_14601154	0.448099401401	chr1
chr1_14654110	0.465826082033	chr1
chr1_14707088	0.474260929118	chr1
chr1_14759653	0.48410889346	chr1
chr1_14813613	0.483793920621	chr1
chr1_14867203	0.486576098645	chr1
chr1_14922998	0.519020840225	chr1
chr1_14977411	0.518449987546	chr1
chr1_15033616	0.5171131503	chr1
chr1_15087667	0.499859173442	chr1
chr1_15140923	0.485882695386	chr1
chr1_15195890	0.470362899495	chr1
chr1_15249926	0.450187148004	chr1
chr1_15307099	0.484460897733	chr1
chr1_15361123	0.504273042946	chr1
chr1_15416703	0.512502917347	chr1
chr1_15476689	0.474758943248	chr1
chr1_15535699	0.4525365041	chr1
chr1_15596924	0.444685828877	chr1
chr1_15656763	0.47035698752	chr1
chr1_15716540	0.568651807271	chr1
chr1_15773697	0.491761086294	chr1
chr1_15841302	0.430158912001	chr1
chr1_15902404	0.47510026738	chr1
chr1_15956259	0.487414147447	chr1
chr1_16013187	0.590055389317	chr1
chr1_16076014	0.533221223145	chr1
chr1_16134289	0.55423023074	chr1
chr1_16189285	0.53645635201	chr1
chr1_16244487	0.440494251711	chr1
chr1_16303808	0.449122593224	chr1
chr1_16369455	0.499015813705	chr1
chr1_16429402	0.494325187316	chr1
chr1_16492663	0.456700461678	chr1
chr1_16623056	0.513659365488	chr1
chr1_16930936	0.565670137723	chr1
chr1_16996429	0.475932994063	chr1
chr1_17053020	0.507775184055	chr1
chr1_17108709	0.487374015027	chr1
chr1_17163278	0.493963127639	chr1
chr1_17217030	0.520873595137	chr1
chr1_17270326	0.483709540034	chr1
chr1_17326677	0.502874857123	chr1
chr1_17384418	0.524517807482	chr1
chr1_17440151	0.486399565472	chr1
chr1_17510111	0.515008808191	chr1
chr1_17567444	0.544670118147	chr1
chr1_17620174	0.555969429112	chr1
